,target,robot_pos,action,value
0,0,0,0,0.1572985698779424
1,0,0,1,0.31425334016482037
2,0,0,2,0.06504802530010541
3,0,0,3,0.008030966855585575
4,0,0,4,0.45393172899882
5,0,0,5,0.0014373986959981266
6,0,1,0,0.15613453586896262
7,0,1,1,0.3183574676513672
8,0,1,2,0.03689793745676676
9,0,1,3,0.01497635462631782
10,0,1,4,0.4620089530944824
11,0,1,5,0.011624743456195574
12,0,2,0,0.16401477654774985
13,0,2,1,0.27108413477738696
14,0,2,2,0.025453853110472362
15,0,2,3,0.012836481754978498
16,0,2,4,0.45120106140772503
17,0,2,5,0.07540963760887583
18,0,3,0,0.15347267190615335
19,0,3,1,0.3229331274827321
20,0,3,2,0.05159814655780792
21,0,3,3,0.007416331519683202
22,0,3,4,0.46047596136728924
23,0,3,5,0.004103833438421134
24,0,4,0,0.04897543292160359
25,0,4,1,0.09118759944067278
26,0,4,2,0.0384023489724162
27,0,4,3,0.001355288960667167
28,0,4,4,0.16482287899574052
29,0,4,5,0.6552564586503044
30,0,5,0,0.15270911157131195
31,0,5,1,0.26081868012746173
32,0,5,2,0.044742217287421227
33,0,5,3,0.00961074287382265
34,0,5,4,0.5234624048074087
35,0,5,5,0.008656832311923305
36,0,6,0,0.1562704344590505
37,0,6,1,0.2677548974752426
38,0,6,2,0.04323804254333178
39,0,6,3,0.0074991270278890925
40,0,6,4,0.49873239795366925
41,0,6,5,0.026505128558104236
42,0,7,0,0.05672853965673615
43,0,7,1,0.04316021175660959
44,0,7,2,0.03950923259480987
45,0,7,3,0.002717833290565371
46,0,7,4,0.12074424467148977
47,0,7,5,0.7371399799982706
48,0,8,0,0.06740422853423904
49,0,8,1,0.06420630950985166
50,0,8,2,0.023646171757718548
51,0,8,3,0.003045928429249519
52,0,8,4,0.09709468207438476
53,0,8,5,0.7446026752392451
54,0,9,0,0.04682627019398448
55,0,9,1,0.16879780705032013
56,0,9,2,0.01029440843331031
57,0,9,3,0.0026724513272711192
58,0,9,4,0.10469790589407542
59,0,9,5,0.6667111825760609
60,0,10,0,0.04216081567498501
61,0,10,1,0.18017815860351524
62,0,10,2,0.010082833883643616
63,0,10,3,0.005898535204930037
64,0,10,4,0.09467322033693411
65,0,10,5,0.6670064273833608
66,0,11,0,0.1600366880496343
67,0,11,1,0.2468327134847641
68,0,11,2,0.02932119866212209
69,0,11,3,0.024202247460683186
70,0,11,4,0.31420530875523883
71,0,11,5,0.2254018491754929
72,0,12,0,0.14218569298585257
73,0,12,1,0.5246074299017588
74,0,12,2,0.030847217266758282
75,0,12,3,0.012443105224519968
76,0,12,4,0.28390581409136456
77,0,12,5,0.00601074869337026
78,0,13,0,0.06825300024744745
79,0,13,1,0.17326722697665295
80,0,13,2,0.00931396613062437
81,0,13,3,0.004904386082974573
82,0,13,4,0.13460720204360163
83,0,13,5,0.6096542179584503
84,0,14,0,0.09924796223640442
85,0,14,1,0.3680409813920657
86,0,14,2,0.018092215061187744
87,0,14,3,0.00526930329700311
88,0,14,4,0.21871924897034964
89,0,14,5,0.2906302814274871
90,0,15,0,0.11111088593800862
91,0,15,1,0.5321318904558817
92,0,15,2,0.036860049391786255
93,0,15,3,0.005912460076312224
94,0,15,4,0.31374166409174603
95,0,15,5,0.00024308578394993674
96,0,16,0,0.08040852076373994
97,0,16,1,0.3542612226059039
98,0,16,2,0.07247097165479015
99,0,16,3,0.004985824110917747
100,0,16,4,0.1552301509073004
101,0,16,5,0.3326432798445846
102,0,17,0,0.12592904766400656
103,0,17,1,0.4725123743216197
104,0,17,2,0.1083812564611435
105,0,17,3,0.006392607931047678
106,0,17,4,0.2705739537874858
107,0,17,5,0.016210719642306987
108,0,18,0,0.12473403165737788
109,0,18,1,0.4216003517309825
110,0,18,2,0.15135794381300607
111,0,18,3,0.005486446587989728
112,0,18,4,0.2963535487651825
113,0,18,5,0.00046768841275479645
114,0,19,0,0.1287863850593567
115,0,19,1,0.39752397934595746
116,0,19,2,0.13297060132026672
117,0,19,3,0.005118297257771094
118,0,19,4,0.33456579844156903
119,0,19,5,0.0010349262302042916
120,1,0,0,0.12288579593102138
121,1,0,1,0.1141045093536377
122,1,0,2,0.2645787447690964
123,1,0,3,0.13666926821072897
124,1,0,4,0.3617611527442932
125,1,0,5,5.707169729400144e-07
126,1,1,0,0.1524104724327723
127,1,1,1,0.1520389864842097
128,1,1,2,0.07295269643266995
129,1,1,3,0.163792518277963
130,1,1,4,0.45877567927042645
131,1,1,5,2.9672522733411217e-05
132,1,2,0,0.15198569496472678
133,1,2,1,0.13290288796027502
134,1,2,2,0.09572185575962067
135,1,2,3,0.12344929575920105
136,1,2,4,0.4959365824858348
137,1,2,5,3.666555111673612e-06
138,1,3,0,0.1359789396325747
139,1,3,1,0.17753341545661291
140,1,3,2,0.2122672920425733
141,1,3,3,0.09806847820679347
142,1,3,4,0.3761514127254486
143,1,3,5,4.7445805032945526e-07
144,1,4,0,0.12559957802295685
145,1,4,1,0.0826416586836179
146,1,4,2,0.23156194078425565
147,1,4,3,0.030008562607690692
148,1,4,4,0.5300209869941076
149,1,4,5,0.00016727124924997838
150,1,5,0,0.15648402770360312
151,1,5,1,0.15469806641340256
152,1,5,2,0.17004982940852642
153,1,5,3,0.06155901774764061
154,1,5,4,0.45720595121383667
155,1,5,5,3.1005194453352183e-06
156,1,6,0,0.1343314548333486
157,1,6,1,0.2012214163939158
158,1,6,2,0.18069479117790857
159,1,6,3,0.03872346753875414
160,1,6,4,0.4450283745924632
161,1,6,5,4.830725662448762e-07
162,1,7,0,0.13386857757965723
163,1,7,1,0.06744090343515079
164,1,7,2,0.2485518812512358
165,1,7,3,0.016455087965975206
166,1,7,4,0.44984575112660724
167,1,7,5,0.08383776756753865
168,1,8,0,0.10187253107627232
169,1,8,1,0.06358135988314946
170,1,8,2,0.36227642411055666
171,1,8,3,0.016524088258544605
172,1,8,4,0.17884338150421777
173,1,8,5,0.2769022037015058
174,1,9,0,0.06829409146060546
175,1,9,1,0.14876007141234973
176,1,9,2,0.03298023661288122
177,1,9,3,0.03521424438804388
178,1,9,4,0.13510633756717047
179,1,9,5,0.5796450463559873
180,1,10,0,0.16950173676013947
181,1,10,1,0.2997064342101415
182,1,10,2,0.016466704818109672
183,1,10,3,0.03296487250675758
184,1,10,4,0.2044902245203654
185,1,10,5,0.2768700272778612
186,1,11,0,0.18498759965101877
187,1,11,1,0.16537692149480185
188,1,11,2,0.071988794952631
189,1,11,3,0.13813736538092294
190,1,11,4,0.43925632039705914
191,1,11,5,0.0002530663098241348
192,1,12,0,0.1527389536301295
193,1,12,1,0.40444796284039813
194,1,12,2,0.08718266834815343
195,1,12,3,0.10875729471445084
196,1,12,4,0.24686607221762338
197,1,12,5,7.036413791183804e-06
198,1,13,0,0.15668926139672598
199,1,13,1,0.46523438890775043
200,1,13,2,0.04497323433558146
201,1,13,3,0.024238104932010174
202,1,13,4,0.30884186426798504
203,1,13,5,2.3201470526146295e-05
204,1,14,0,0.18189428746700287
205,1,14,1,0.4378417730331421
206,1,14,2,0.069312393044432
207,1,14,3,0.07172166043892503
208,1,14,4,0.2392290731271108
209,1,14,5,8.299245640349303e-07
210,1,15,0,0.1741472731033961
211,1,15,1,0.4572738707065582
212,1,15,2,0.06065754344065984
213,1,15,3,0.09052423387765884
214,1,15,4,0.2173956980307897
215,1,15,5,1.3593647736342973e-06
216,1,16,0,0.1812946399052938
217,1,16,1,0.4534064431985219
218,1,16,2,0.17098098496596018
219,1,16,3,0.03861678919444481
220,1,16,4,0.15548276901245117
221,1,16,5,0.00021835895184570595
222,1,17,0,0.16493718326091766
223,1,17,1,0.37944749494393665
224,1,17,2,0.28161002198855084
225,1,17,3,0.03294753593703111
226,1,17,4,0.1410571113228798
227,1,17,5,6.040242605346672e-07
228,1,18,0,0.14801020423571268
229,1,18,1,0.21158373355865479
230,1,18,2,0.4088461697101593
231,1,18,3,0.0532978984216849
232,1,18,4,0.1782616823911667
233,1,18,5,3.065071420375413e-07
234,1,19,0,0.15686535835266113
235,1,19,1,0.21776107450326285
236,1,19,2,0.39557479818662006
237,1,19,3,0.03831062838435173
238,1,19,4,0.19148792823155722
239,1,19,5,1.6960587364186117e-07
240,2,0,0,0.13660688698291779
241,2,0,1,0.09050083036224048
242,2,0,2,0.17467444638411203
243,2,0,3,0.09522060553232829
244,2,0,4,0.18560356895128885
245,2,0,5,0.31739367296298343
246,2,1,0,0.07972674320141475
247,2,1,1,0.04410535221298536
248,2,1,2,0.023277631029486656
249,2,1,3,0.0730947492023309
250,2,1,4,0.07259246706962585
251,2,1,5,0.7072030703226725
